================================================
  NLOC    CCN   token  PARAM  length  location  
       5      2     40      1       6 HeaderBasedSecurityFilter::authenticate@29-34@reader-web-common/src/main/java/com/sismics/util/filter/HeaderBasedSecurityFilter.java
      22      5    160      1      31 RequestContextFilter::init@37-67@reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java
      12      1    101      0      12 RequestContextFilter::addFileLogger@72-83@reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java
       2      1      5      0       3 RequestContextFilter::destroy@86-88@reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java
      51     14    335      3      61 RequestContextFilter::doFilter@91-151@reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java
       7      5     56      1       8 TokenBasedSecurityFilter::extractAuthToken@45-52@reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java
       8      3     51      2       8 TokenBasedSecurityFilter::handleExpiredToken@59-66@reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java
      11      3     98      1      11 TokenBasedSecurityFilter::isTokenExpired@74-84@reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java
      16      4    107      1      21 TokenBasedSecurityFilter::authenticate@87-107@reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java
       2      1      5      0       3 AnonymousPrincipal::AnonymousPrincipal@28-30@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::getId@33-35@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::getName@38-40@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::isAnonymous@43-45@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::getLocale@48-50@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1     13      1       3 AnonymousPrincipal::setLocale@57-59@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::getDateTimeZone@62-64@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1      8      0       3 AnonymousPrincipal::getEmail@67-69@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       3      1     13      1       3 AnonymousPrincipal::setDateTimeZone@76-78@reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
       4      1     22      2       4 UserPrincipal::UserPrincipal@50-53@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::isAnonymous@56-58@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getId@61-63@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     13      1       3 UserPrincipal::setId@70-72@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getName@75-77@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     13      1       3 UserPrincipal::setName@84-86@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getLocale@89-91@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     13      1       3 UserPrincipal::setLocale@98-100@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getDateTimeZone@103-105@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     13      1       3 UserPrincipal::setDateTimeZone@112-114@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getEmail@117-119@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     13      1       3 UserPrincipal::setEmail@126-128@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1      8      0       3 UserPrincipal::getBaseFunctionSet@135-137@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
       3      1     16      1       3 UserPrincipal::setBaseFunctionSet@144-146@reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
      17      4    145      3      17 JsonUtil::append@22-38@reader-web-common/src/main/java/com/sismics/rest/util/JsonUtil.java
       5      2     36      2       5 ValidationUtil::validateRequired@31-35@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
      16      8    141      5      16 ValidationUtil::validateLength@47-62@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
       3      1     32      4       3 ValidationUtil::validateLength@73-75@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
       3      1     26      2       3 ValidationUtil::validateStringNotBlank@84-86@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
       5      2     44      2       5 ValidationUtil::validateEmail@94-98@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
       7      2     56      2       7 ValidationUtil::validateHttpUrl@107-113@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
       5      2     44      2       5 ValidationUtil::validateAlphanumeric@121-125@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
      14      4     97      3      14 ValidationUtil::validateDate@135-148@reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
      16      3    102      1      19 GenericExceptionMapper::toResponse@26-44@reader-web-common/src/main/java/com/sismics/rest/resource/GenericExceptionMapper.java
       5      1     45      0       5 ForbiddenClientException::ForbiddenClientException@25-29@reader-web-common/src/main/java/com/sismics/rest/exception/ForbiddenClientException.java
       4      1     35      3       4 ClientException::ClientException@35-38@reader-web-common/src/main/java/com/sismics/rest/exception/ClientException.java
       5      1     50      2       5 ClientException::ClientException@46-50@reader-web-common/src/main/java/com/sismics/rest/exception/ClientException.java
       4      1     35      3       4 ServerException::ServerException@35-38@reader-web-common/src/main/java/com/sismics/rest/exception/ServerException.java
       5      1     50      2       5 ServerException::ServerException@46-50@reader-web-common/src/main/java/com/sismics/rest/exception/ServerException.java
17 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
     23      15.0     3.0       84.0         1     reader-web-common/src/test/java/com/sismics/reader/rest/util/TestValidationUtil.java
     20      11.0     1.0       77.0         1     reader-web-common/src/test/java/com/sismics/reader/rest/descriptor/JerseyTestWebAppDescriptorFactory.java
     29       8.0     2.0       57.5         2     reader-web-common/src/test/java/com/sismics/reader/rest/filter/CookieAuthenticationFilter.java
    242       5.8     1.3       42.7        34     reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
     59       5.1     1.4       38.4         7     reader-web-common/src/main/java/com/sismics/util/filter/SecurityFilter.java
     21       4.5     2.0       38.5         2     reader-web-common/src/main/java/com/sismics/util/filter/HeaderBasedSecurityFilter.java
    114      21.8     5.2      150.2         4     reader-web-common/src/main/java/com/sismics/util/filter/RequestContextFilter.java
     57      10.5     3.8       78.0         4     reader-web-common/src/main/java/com/sismics/util/filter/TokenBasedSecurityFilter.java
     40       2.9     1.0        8.8         9     reader-web-common/src/main/java/com/sismics/security/AnonymousPrincipal.java
     11       0.0     0.0        0.0         0     reader-web-common/src/main/java/com/sismics/security/IPrincipal.java
     61       3.1     1.0       11.4        14     reader-web-common/src/main/java/com/sismics/security/UserPrincipal.java
     23      17.0     4.0      145.0         1     reader-web-common/src/main/java/com/sismics/rest/util/JsonUtil.java
     72       7.2     2.8       59.5         8     reader-web-common/src/main/java/com/sismics/rest/util/ValidationUtil.java
     30      16.0     3.0      102.0         1     reader-web-common/src/main/java/com/sismics/rest/resource/GenericExceptionMapper.java
     14       5.0     1.0       45.0         1     reader-web-common/src/main/java/com/sismics/rest/exception/ForbiddenClientException.java
     21       4.5     1.0       42.5         2     reader-web-common/src/main/java/com/sismics/rest/exception/ClientException.java
     21       4.5     1.0       42.5         2     reader-web-common/src/main/java/com/sismics/rest/exception/ServerException.java

===============================================================================================================
No thresholds exceeded (cyclomatic_complexity > 15 or length > 1000 or nloc > 1000000 or parameter_count > 100)
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
       858       6.4     1.7       44.8       93            0      0.00    0.00
