================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      15      3     84      0      17 TestValidationUtil::testValidateHttpUrlFail@17-33@reader-web-common/src/test/java/com/sismics/reader/rest/util/TestValidationUtil.java
      11      1     77      0      15 JerseyTestWebAppDescriptorFactory::build@23-37@reader-web-common/src/test/java/com/sismics/reader/rest/descriptor/JerseyTestWebAppDescriptorFactory.java
       3      1     13      1       3 CookieAuthenticationFilter::CookieAuthenticationFilter@22-24@reader-web-common/src/test/java/com/sismics/reader/rest/filter/CookieAuthenticationFilter.java
      13      3    102      1      13 CookieAuthenticationFilter::handle@27-39@reader-web-common/src/test/java/com/sismics/reader/rest/filter/CookieAuthenticationFilter.java
       3      1     14      0       3 BaseJerseyTest::BaseJerseyTest@71-73@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       7      1     37      0       9 BaseJerseyTest::setUp@77-85@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       5      1     25      0       5 BaseJerseyTest::tearDown@89-93@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       8      1    110      0      14 BaseJerseyTest::startHttpServer@99-112@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       5      1     39      0       5 BaseJerseyTest::addTempFileHandler@119-123@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
      12      2     94      0      13 BaseJerseyTest::popEmail@130-142@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       7      1     55      1       7 BaseJerseyTest::encodeQuotedPrintable@150-156@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       8      2     64      1      14 BaseJerseyTest::copyTempResource@158-171@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       8      1     31      1       9 BaseJerseyTest::withNetworkDown@179-187@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
      11      1     52      1      16 BaseJerseyTest::createUser@194-209@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
      10      1     71      3      11 BaseJerseyTest::login@219-229@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     10      0       3 BaseJerseyTest::assertIsOk@231-233@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     14      1       3 BaseJerseyTest::assertIsOk@235-237@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     10      0       3 BaseJerseyTest::assertIsBadRequest@239-241@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     14      1       3 BaseJerseyTest::assertIsBadRequest@243-245@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     10      0       3 BaseJerseyTest::assertIsForbidden@247-249@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     14      1       3 BaseJerseyTest::assertIsForbidden@251-253@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
       3      1     29      2       3 BaseJerseyTest::assertStatus@255-257@reader-web-common/src/test/java/com/sismics/reader/rest/BaseJerseyTest.java
