file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/dao/lucene/ReaderStandardAnalyzer.java,com.sismics.reader.core.dao.lucene.ReaderStandardAnalyzer$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/dao/jpa/JobEventDao.java,com.sismics.reader.core.dao.jpa.JobEventDao,class,11,12,1,11,4,2,0,17,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,27,2,0,1,0,0,8,0,8,0,8,1,0,0,0,55,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/dao/jpa/JobDao.java,com.sismics.reader.core.dao.jpa.JobDao,class,11,12,1,11,7,2,0,21,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,45,5,0,1,1,0,12,0,13,0,13,1,0,0,0,62,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/constant/JobConstants.java,com.sismics.reader.core.constant.JobConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,7,0,0,9,0,0,0,0,0,7,0,7,0,7,0,0,0,0,30,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/model/jpa/Locale.java,com.sismics.reader.core.model.jpa.Locale,class,4,6,2,4,3,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,3,1,1,0,1,0,0,0,0,18,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/event/PasswordChangedEvent.java,com.sismics.reader.core.event.PasswordChangedEvent,class,1,1,0,1,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/dao/file/html/MimeTypeConstants.java,com.sismics.reader.core.dao.file.html.MimeTypeConstants,class,1,2,1,1,1,1,0,3,0,0.8333333,NaN,NaN,1,1,1,0,0,0,1,0,0,0,6,6,5,1,0,0,6,0,0,11,1,0,0,0,0,17,0,6,0,6,0,0,0,0,32,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/constant/UserConstants.java,com.sismics.reader.core.constant.UserConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,5,0,5,0,5,0,0,0,0,28,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/util/ConfigUtil.java,com.sismics.reader.core.util.ConfigUtil,class,4,6,2,4,5,1,0,6,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,21,4,0,1,0,0,2,0,4,1,4,1,0,0,0,32,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-core/src/main/java/com/sismics/reader/core/dao/jpa/mapper/JobMapper.java,com.sismics.reader.core.dao.jpa.mapper.JobMapper,class,2,3,1,2,4,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,3,0,0,0,1,5,0,5,1,0,0,0,15,1,0
