file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestThemeResource.java,com.sismics.reader.rest.TestThemeResource,class,4,4,0,4,2,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,1,2,0,2,0,0,0,0,27,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/TextPlainMessageBodyWriter.java,com.sismics.reader.rest.resource.TextPlainMessageBodyWriter,class,7,7,0,7,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,1,0,0,1,1,0,1,1,0,0,0,50,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,class,17,17,0,17,22,2,0,20,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,94,4,6,8,0,0,25,4,20,4,20,3,0,0,0,44,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,class,15,15,0,15,12,2,0,32,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,68,4,1,1,1,1,34,0,14,0,14,1,0,0,0,77,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestCategoryResource.java,com.sismics.reader.rest.TestCategoryResource,class,4,4,0,4,4,2,0,23,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,103,31,49,6,14,0,0,0,0,60,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,class,8,20,12,8,9,1,11,6,1,0.6666667,0.33333334,0.33333334,3,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,27,4,0,3,0,2,1,0,3,0,5,1,0,0,0,54,1025,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,class,20,20,0,20,21,2,0,26,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,98,5,3,7,0,0,34,0,20,0,20,2,0,0,0,57,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,class,37,37,0,37,70,2,0,81,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,365,11,4,28,2,1,129,18,87,1,67,4,0,0,0,166,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestJobResource.java,com.sismics.reader.rest.TestJobResource,class,6,6,0,6,1,2,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,29,9,11,2,7,0,0,0,0,54,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/ThemeResource.java,com.sismics.reader.rest.resource.ThemeResource,class,8,8,0,8,4,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,1,0,5,0,5,0,5,1,0,0,0,29,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestUserResource.java,com.sismics.reader.rest.TestUserResource,class,4,4,0,4,4,2,0,27,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,188,3,21,0,5,0,0,0,0,59,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/AllResource.java,com.sismics.reader.rest.resource.AllResource,class,17,17,0,17,8,2,0,26,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,42,2,2,1,0,0,10,1,11,0,11,2,0,0,0,51,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/constant/BaseFunction.java,com.sismics.reader.rest.constant.BaseFunction,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestSearchResource.java,com.sismics.reader.rest.TestSearchResource,class,5,6,1,5,3,2,0,15,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,43,15,17,1,3,1,0,0,0,72,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/main/java/com/sismics/reader/rest/resource/CategoryResource.java,com.sismics.reader.rest.resource.CategoryResource,class,24,24,0,24,26,2,0,42,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,152,6,4,5,4,0,41,6,38,0,36,2,0,0,0,84,1,0
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/../../Main/project-1-team-27/reader-web/src/test/java/com/sismics/reader/rest/TestLocaleResource.java,com.sismics.reader.rest.TestLocaleResource,class,4,4,0,4,2,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,1,2,0,2,0,0,0,0,27,1,0
