file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestThemeResource.java,com.sismics.reader.rest.TestThemeResource,testThemeResource/0,false,21,3,0,0,0,2,6,7,0,2,0,6,0,0,0,0,0,0,2,1,2,0,0,0,0,0,24,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/TextPlainMessageBodyWriter.java,com.sismics.reader.rest.resource.TextPlainMessageBodyWriter,"isWriteable/4[java.lang.Class<?>,java.lang.reflect.Type,java.lang.annotation.Annotation[],com.sismics.reader.rest.resource.MediaType]",false,33,1,0,0,0,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/TextPlainMessageBodyWriter.java,com.sismics.reader.rest.resource.TextPlainMessageBodyWriter,"writeTo/7[com.sismics.reader.rest.resource.JSONObject,java.lang.Class<?>,java.lang.reflect.Type,java.lang.annotation.Annotation[],com.sismics.reader.rest.resource.MediaType,com.sismics.reader.rest.resource.MultivaluedMap<java.lang.String,java.lang.Object>,java.io.OutputStream]",false,48,4,0,0,0,2,3,10,0,1,7,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,18,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/TextPlainMessageBodyWriter.java,com.sismics.reader.rest.resource.TextPlainMessageBodyWriter,"getSize/5[com.sismics.reader.rest.resource.JSONObject,java.lang.Class<?>,java.lang.reflect.Type,java.lang.annotation.Annotation[],com.sismics.reader.rest.resource.MediaType]",false,39,2,0,0,0,1,0,3,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,read/1[java.lang.String],false,47,16,2,0,2,5,21,22,1,5,1,21,0,0,1,2,0,0,6,1,5,1,2,0,0,0,26,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,unreadMultiple/1[java.util.List<java.lang.String>],false,184,16,2,0,2,6,21,24,1,5,1,21,0,0,2,2,0,0,6,1,5,1,3,0,0,0,33,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,readMultiple/1[java.util.List<java.lang.String>],false,92,16,2,0,2,6,21,24,1,5,1,21,0,0,2,2,0,0,6,1,5,1,3,0,0,0,34,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,unread/1[java.lang.String],false,139,16,2,0,2,5,21,22,1,5,1,21,0,0,1,2,0,0,6,1,5,1,2,0,0,0,30,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/ArticleResource.java,com.sismics.reader.rest.resource.ArticleResource,ArticleResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,39,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,version/0,false,49,4,0,0,0,1,10,11,1,4,0,10,0,0,0,0,0,0,8,0,4,0,0,0,0,0,15,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,batchReindex/0,false,126,9,2,0,2,3,9,16,1,2,0,9,0,0,0,0,1,0,5,0,2,0,1,0,0,0,22,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,mapPort/0,false,151,8,3,0,3,3,9,12,1,1,0,9,0,0,0,0,0,0,5,0,1,0,1,0,0,0,20,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,"log/5[java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer]",false,80,14,2,0,2,5,21,28,1,8,5,21,0,0,1,1,0,1,15,0,8,0,1,0,0,0,40,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/AppResource.java,com.sismics.reader.rest.resource.AppResource,AppResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,43,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/test/java/com/sismics/reader/rest/TestCategoryResource.java,com.sismics.reader.rest.TestCategoryResource,testCategoryResource/0,false,22,3,0,0,0,4,23,141,0,14,0,23,0,0,0,0,0,0,103,31,49,6,0,0,0,0,56,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,getPrincipal/0,false,90,1,32,32,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,authenticate/0,false,56,1,41,41,0,3,2,10,2,1,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,19,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,setRequest/1[com.sismics.reader.rest.resource.HttpServletRequest],false,34,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,checkBaseFunction/1[com.sismics.reader.rest.constant.BaseFunction],false,71,3,10,9,1,2,1,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,21,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,getRequest/0,false,37,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,hasBaseFunction/1[com.sismics.reader.rest.constant.BaseFunction],false,83,3,4,4,0,4,3,7,2,1,1,3,0,0,0,2,0,2,0,0,1,0,1,0,0,0,23,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/BaseResource.java,com.sismics.reader.rest.resource.BaseResource,BaseResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,28,1,11,11,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,StarredResource/1[com.sismics.reader.rest.resource.HttpServletRequest],true,40,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
